%time,field.x,field.y,field.z
8105.389,-3.2118871219092644,-0.5472095908476163,1.5115276037099348
8105.389,-3.2120284564883366,-0.5475329972392963,1.5115328089419973
8105.389,-3.2121698000978474,-0.5478563906195529,1.5115380029518912
8105.39,-3.2123111527352948,-0.548179771005754,1.5115431856084043
8105.391,-3.212452514398046,-0.548503138415442,1.511548356754748
8105.392,-3.212593885083375,-0.5488264928666953,1.51155351621188
8105.393,-3.212735264788556,-0.5491498343782744,1.5115586637810279
8105.393,-3.212876653511583,-0.5494731629675764,1.5115637990173445
8105.395,-3.2130180512510447,-0.5497964786538918,1.5115689214880872
8105.396,-3.2131594580059533,-0.550119781456833,1.5115740307703844
8105.397,-3.213300873775577,-0.5504430713960828,1.5115791264527425
8105.398,-3.2134422985604174,-0.5507663484921311,1.5115842083016153
8105.399,-3.213583732361178,-0.5510896127679493,1.5115892760745977
8105.4,-3.213725175178967,-0.5514128642464995,1.5115943295199041
8105.401,-3.2138666270154435,-0.5517361029501229,1.5115993683805187
8105.402,-3.214008087873765,-0.5520593289014171,1.5116043923707898
8105.403,-3.214149557757918,-0.5523825421229284,1.5116094012083108
8105.404,-3.2142910366728072,-0.5527057426380656,1.5116143946149412
8105.405,-3.214432524624677,-0.5530289304711205,1.5116193723159257
8105.406,-3.214574021621258,-0.5533521056479432,1.511624334110541
8105.407,-3.2147155276717863,-0.5536752681923686,1.511629279793642
8105.408,-3.2148570427869885,-0.5539984181288231,1.5116342091601793
8105.409,-3.214998566979161,-0.5543215554831026,1.5116391220039733
8105.41,-3.2151401002614657,-0.5546446802816891,1.5116440181162782
8105.411,-3.215281642648974,-0.5549677925512013,1.5116488972865636
8105.412,-3.215423194158358,-0.5552908923183474,1.511653759303604
8105.413,-3.2155647548075716,-0.5556139796101858,1.5116586039566577
8105.414,-3.2157063246152306,-0.5559370544551684,1.511663431167989
8105.415,-3.2158479036015497,-0.5562601168824859,1.5116682408456326
8105.416,-3.2159894917881675,-0.5565831669217886,1.5116730328852024
8105.417,-3.2161310891977215,-0.5569062046031538,1.51167780717206
8105.418,-3.2162726958557073,-0.5572292299598371,1.511682564221661
8105.419,-3.2164143117887867,-0.5575522430283254,1.5116873044812422
8105.42,-3.21655593702431,-0.5578752438439281,1.5116920283330333
8105.421,-3.2166975715894544,-0.5581982324400174,1.51169673610542
8105.422,-3.2168392155110452,-0.5585212088491274,1.5117014280713692
8105.422,-3.2169808688161305,-0.5588441731061131,1.5117061044466364
8105.424,-3.217122531531635,-0.5591671252459999,1.5117107653923862
8105.425,-3.2172642036838646,-0.5594900653029785,1.5117154110216562
8105.426,-3.2174058852981644,-0.5598129933107711,1.5117200414058092
8105.427,-3.2175475763988115,-0.5601359093029664,1.5117246565795024
8105.428,-3.2176892770091006,-0.560458813313024,1.5117292565446252
8105.429,-3.2178309871515407,-0.5607817053740624,1.511733841273618
8105.43,-3.2179727068482133,-0.5611045855170282,1.5117384104753337
8105.431,-3.218114436119619,-0.5614274537728188,1.5117429638458255
8105.432,-3.218256174985273,-0.5617503101716567,1.5117475010695443
8105.433,-3.218397923464432,-0.5620731547427399,1.5117520218217033
8105.434,-3.2185396815764533,-0.562395987515702,1.511756525932018
8105.435,-3.218681449340039,-0.5627188085177728,1.5117610132244315
8105.436,-3.218823226773655,-0.5630416177754857,1.5117654835207
8105.437,-3.2189650138959363,-0.5633644153149826,1.511769936639801
8105.438,-3.219106810725221,-0.563687201162617,1.5117743724632349
8105.438,-3.2192486172795847,-0.5640099753414046,1.5117787908635085
8105.44,-3.219390433576633,-0.5643327378737487,1.511783191708831
8105.441,-3.2195322596334175,-0.5646554887821373,1.5117875748618865
8105.441,-3.2196740954676035,-0.5649782280898268,1.5117919403816764
8105.443,-3.2198159410966913,-0.5653009558173946,1.511796288297663
8105.444,-3.21995779653769,-0.565623671984488,1.511800618615737
8105.445,-3.220099661806543,-0.5659463766104864,1.5118049313200979
8105.446,-3.2202415369205575,-0.5662690697161814,1.5118092267391423
8105.447,-3.2203834218965968,-0.5665917513213901,1.5118135051577293
8105.448,-3.2205253167503765,-0.5669144214449523,1.5118177668220958
8105.449,-3.220667221495702,-0.5672370801050312,1.5118220119442447
8105.45,-3.220809136142886,-0.5675597273182084,1.5118262404696368
8105.451,-3.220951060700331,-0.5678823631008528,1.5118304523269426
8105.452,-3.2210929951748257,-0.5682049874695538,1.511834647429829
8105.453,-3.221234939571808,-0.5685276004410882,1.5118388256781017
8105.454,-3.2213768938931313,-0.5688502020293208,1.511842986524764
8105.455,-3.221518858139462,-0.5691727922490591,1.5118471294459663
8105.456,-3.2216608323105556,-0.5694953711150386,1.5118512539381164
8105.457,-3.2218028164054395,-0.5698179386418497,1.5118553595177675
8105.458,-3.221944810424388,-0.570140494847077,1.511859446227181
8105.461,-3.2220868143656003,-0.5704630397478951,1.5118635140840018
8105.461,-3.222228828225917,-0.5707855733609086,1.5118675630854164
8105.461,-3.222370852001741,-0.5711080957022089,1.5118715932112876
8105.462,-3.222512885692783,-0.5714306067884217,1.5118756047879736
8105.463,-3.2226549292987157,-0.571753106638458,1.5118795980833637
8105.484,-3.2227969828191085,-0.5720755952694772,1.511883573309278
8105.484,-3.2229390462529763,-0.5723980726961531,1.5118875306312543
8105.484,-3.2230811195960527,-0.5727205389317273,1.511891470010144
8105.484,-3.2232232028441548,-0.5730429939888007,1.5118953913941118
8105.484,-3.2233652959923496,-0.5733654378805529,1.5118992947200132
8105.484,-3.2235073990340366,-0.5736878706205069,1.511903179912659
8105.484,-3.223649511961278,-0.5740102922230311,1.5119070469763682
8105.484,-3.2237916347649547,-0.5743327026990386,1.511910895877624
8105.484,-3.2239337674339277,-0.5746551020592677,1.5119147265535557
8105.484,-3.2240759099542804,-0.5749774903153134,1.5119185389131746
8105.484,-3.224218062313085,-0.5752998674851341,1.511922333644335
8105.484,-3.224360224494222,-0.5756222335811809,1.51192611133441
8105.484,-3.22450239647852,-0.5759445886159411,1.511929872488198
8105.484,-3.2246445782441957,-0.5762669326035883,1.5119336175324372
8105.484,-3.22478676976656,-0.5765892655602122,1.5119373470554929
8105.484,-3.224928971017927,-0.5769115875016726,1.5119410615677398
